false_positive_rate,true_positive_rate
0.03428571428571429,0.7215
0.03428571428571429,0.7225
0.034428571428571426,0.7225
0.034428571428571426,0.723
0.03471428571428571,0.723
0.03471428571428571,0.7235
0.03514285714285714,0.7235
0.03514285714285714,0.724
0.03528571428571429,0.724
0.03528571428571429,0.7245
0.03557142857142857,0.7245
0.03557142857142857,0.725
0.03614285714285714,0.725
0.03614285714285714,0.7265
0.036571428571428574,0.7265
0.036571428571428574,0.7275
0.03671428571428571,0.7275
0.03671428571428571,0.728
0.03742857142857143,0.728
0.03742857142857143,0.729
0.03757142857142857,0.729
0.03757142857142857,0.73
0.03842857142857143,0.73
0.03842857142857143,0.7305
0.038857142857142854,0.7305
0.038857142857142854,0.731
0.039142857142857146,0.731
0.039142857142857146,0.734
0.04042857142857143,0.734
0.04042857142857143,0.735
0.041428571428571426,0.735
0.041428571428571426,0.736
0.04214285714285714,0.736
0.04214285714285714,0.737
0.04271428571428571,0.737
0.04271428571428571,0.738
0.043,0.738
0.043,0.7395
0.04328571428571429,0.7395
0.04328571428571429,0.7405
0.04357142857142857,0.7405
0.04357142857142857,0.741
0.04371428571428571,0.741
0.04371428571428571,0.742
0.04385714285714286,0.742
0.04385714285714286,0.7425
0.044571428571428574,0.7425
0.044571428571428574,0.744
0.04471428571428571,0.744
0.04471428571428571,0.7445
0.04485714285714286,0.7445
0.04485714285714286,0.7475
0.045142857142857144,0.7475
0.045142857142857144,0.748
0.04557142857142857,0.748
0.04557142857142857,0.7485
0.046,0.7485
0.046,0.75
0.047714285714285716,0.75
0.047714285714285716,0.751
0.048,0.751
0.048,0.7515
0.04842857142857143,0.7515
0.04842857142857143,0.7525
0.04871428571428572,0.7525
0.04871428571428572,0.753
0.049,0.753
0.049,0.754
0.04971428571428571,0.754
0.04971428571428571,0.7545
0.05057142857142857,0.7545
0.05057142857142857,0.755
0.05128571428571429,0.755
0.05128571428571429,0.7555
0.051571428571428574,0.7555
0.051571428571428574,0.756
0.05171428571428571,0.756
0.05171428571428571,0.757
0.05185714285714286,0.757
0.05185714285714286,0.7575
0.052,0.7575
0.052,0.7585
0.05285714285714286,0.7585
0.05285714285714286,0.7595
0.053142857142857144,0.7595
0.053142857142857144,0.76
0.053714285714285714,0.76
0.053714285714285714,0.7605
0.05385714285714286,0.7605
0.05385714285714286,0.761
0.054,0.761
0.054,0.7625
0.05442857142857143,0.7625
0.05442857142857143,0.7635
0.055142857142857146,0.7635
0.055142857142857146,0.764
0.055285714285714285,0.764
0.055285714285714285,0.7645
0.05557142857142857,0.7645
0.05557142857142857,0.765
0.055857142857142855,0.765
0.055857142857142855,0.7675
0.056,0.7675
0.056,0.7685
0.056857142857142856,0.7685
0.056857142857142856,0.771
0.057,0.771
0.057,0.7715
0.057428571428571426,0.7715
0.057428571428571426,0.772
0.05785714285714286,0.772
0.05785714285714286,0.773
0.05814285714285714,0.773
0.05814285714285714,0.7735
0.05842857142857143,0.7735
0.05842857142857143,0.774
0.05871428571428571,0.774
0.05871428571428571,0.7745
0.059571428571428574,0.7745
0.059571428571428574,0.775
0.05985714285714286,0.775
0.05985714285714286,0.7755
0.06085714285714286,0.7755
0.06085714285714286,0.776
0.06157142857142857,0.776
0.06157142857142857,0.7765
0.061714285714285715,0.7765
0.061714285714285715,0.777
0.063,0.777
0.063,0.7775
0.06357142857142857,0.7775
0.06357142857142857,0.7785
0.06385714285714286,0.7785
0.06385714285714286,0.779
0.06428571428571428,0.779
0.06428571428571428,0.7795
0.06457142857142857,0.7795
0.06457142857142857,0.78
0.06471428571428571,0.78
0.06471428571428571,0.7805
0.06485714285714286,0.7805
0.06485714285714286,0.7815
0.065,0.7815
0.065,0.782
0.06542857142857143,0.782
0.06542857142857143,0.783
0.06728571428571428,0.783
0.06728571428571428,0.784
0.06857142857142857,0.784
0.06857142857142857,0.7845
0.069,0.7845
0.069,0.785
0.06957142857142858,0.785
0.06957142857142858,0.7855
0.07014285714285715,0.7855
0.07014285714285715,0.786
0.07042857142857142,0.786
0.07042857142857142,0.7865
0.071,0.7865
0.071,0.787
0.07128571428571429,0.787
